OVR,Rank_APG,Rank_3PG,Name,Team,Cl,Height,Position,G,AST,APG,3FG,3PG,DRFT PROJ,DRFT RNK
92.0,2,112,Markquis Nowell,Kansas St.,Sr.,5-8,G,36,297,8.2,88,2.44,N/A,N/A
86.2,4,336,Isaiah Stevens,Colorado St.,Sr.,6-0,G,26,175,6.7,48,1.85,N/A,N/A
91.2,6,141,Tyree Appleby,Wake Forest,Sr.,6-0,G,33,212,6.4,77,2.33,N/A,N/A
88.7,18,225,Jr. Clay,Tennessee St.,Jr.,6-0,G,30,165,5.5,63,2.1,N/A,N/A
86.7,21,300,Kendric Davis,Memphis,Sr.,5-11,G,34,185,5.4,65,1.91,N/A,N/A
93.7,24,26,Trenton Massner,Western Ill.,Sr.,6-3,G,29,157,5.4,85,2.93,N/A,N/A
87.7,34,247,James Bishop,George Washington,Sr.,6-2,G,32,165,5.2,64,2.0,N/A,N/A
90.7,35,130,Kerr Kriisa,Arizona,Jr.,6-3,G,35,180,5.1,83,2.37,N/A,N/A
91.0,36,119,Phillip Russell,Southeast Mo. St.,So.,5-10,G,34,174,5.1,82,2.41,N/A,N/A
86.2,43,294,CJ Fulton,Lafayette,So.,6-2,G,30,150,5.0,58,1.93,N/A,N/A
90.2,48,135,Mike Mitchell Jr.,Pepperdine,So.,6-2,G,31,154,5.0,73,2.35,N/A,N/A
88.7,53,191,Jalen Cook,Tulane,So.,6-0,G,26,128,4.9,57,2.19,N/A,N/A
85.7,59,299,Omari Moore,San Jose St.,Jr.,6-6,G,35,168,4.8,67,1.91,N/A,N/A
84.4,61,348,Sincere Carry,Kent St.,Sr.,6-1,G,35,167,4.8,64,1.83,N/A,N/A
91.9,69,52,Umoja Gibson,DePaul,Sr.,6-1,G,33,154,4.7,89,2.7,N/A,N/A
91.4,70,67,Andrew Taylor,Marshall,Sr.,6-3,G,32,149,4.7,83,2.59,N/A,N/A
90.7,75,90,Adam Flagler,Baylor,Sr.,6-3,G,32,148,4.6,80,2.5,N/A,N/A
84.7,80,315,Boo Buie,Northwestern,Sr.,6-2,G,34,154,4.5,64,1.88,N/A,N/A
92.5,81,15,Steven Ashworth,Utah St.,Jr.,6-1,G,35,158,4.5,111,3.17,N/A,N/A
85.1,82,297,Xavier Pinson,New Mexico St.,Sr.,6-2,G,24,108,4.5,46,1.92,N/A,N/A
89.0,84,145,Foster Loyer,Davidson,Sr.,6-0,G,31,138,4.5,72,2.32,N/A,N/A
83.8,93,337,El Ellis,Louisville,Sr.,6-3,G,32,140,4.4,59,1.84,N/A,N/A
87.7,96,184,Kevion Nolan,Jacksonville,Sr.,6-2,G,29,126,4.3,64,2.21,N/A,N/A
86.5,105,223,Souley Boum,Xavier,Sr.,6-3,G,37,158,4.3,78,2.11,N/A,N/A
87.8,107,169,Aaron Estrada,Hofstra,Sr.,6-3,G,31,132,4.3,70,2.26,N/A,N/A
87.2,119,181,Jaylin Hunter,Ohio,Jr.,5-11,G,33,137,4.2,73,2.21,N/A,N/A
91.8,119,3,Jordan Walker,UAB,Sr.,5-11,G,33,137,4.2,135,4.09,N/A,N/A
86.6,122,202,Marcus Carr,Texas,Sr.,6-2,G,38,157,4.1,82,2.16,N/A,N/A
90.2,125,59,Terquavion Smith,NC State,So.,6-4,G,34,140,4.1,91,2.68,N/A,N/A
86.7,134,187,Braden Norris,Loyola Chicago,Sr.,6-0,G,31,125,4.0,68,2.19,N/A,N/A
91.3,136,6,Max Abmas,Oral Roberts,Sr.,6-0,G,34,137,4.0,119,3.5,N/A,N/A
83.4,149,296,Javian McCollum,Siena,So.,6-2,G,27,106,3.9,52,1.93,N/A,N/A
86.7,151,170,Wade Taylor IV,Texas A&M,So.,6-0,G,35,137,3.9,79,2.26,N/A,N/A
82.9,152,314,JP Pegues,Furman,So.,6-1,G,36,140,3.9,68,1.89,N/A,N/A
86.5,159,166,Jarron Coleman,Ball St.,Sr.,6-5,G,30,115,3.8,68,2.27,N/A,N/A
83.9,164,264,Sean Pedulla,Virginia Tech,So.,6-1,G,34,130,3.8,67,1.97,N/A,N/A
90.5,165,7,Jordan Johnson,New Orleans,Jr.,6-1,G,27,103,3.8,93,3.44,N/A,N/A
82.1,176,321,Dezi Jones,Quinnipiac,Jr.,5-10,G,32,121,3.8,60,1.88,N/A,N/A
