Rank,Name,Team,Cl,Height,Position,G,ST,STPG
1,Kellen Tynes,Maine,So.,6-3,G,30,98,3.27
2,Jaelen House,New Mexico,Sr.,6-0,G,32,86,2.69
3,Malique Jacobs,Kent St.,Sr.,6-4,G,34,90,2.65
4,D'Moi Hodge,Missouri,Sr.,6-4,G,35,91,2.6
-,Jaylen Clark,UCLA,Jr.,6-5,G,30,78,2.6
6,Markquis Nowell,Kansas St.,Sr.,5-8,G,36,92,2.56
7,Caleb McConnell,Rutgers,Sr.,6-6,G,28,71,2.54
8,Arturo Dean,FIU,Fr.,5-11,G,32,81,2.53
9,Jameer Nelson Jr.,Delaware,Jr.,6-1,G,29,71,2.45
10,Myles Burns,Ole Miss,Sr.,6-6,F,33,80,2.42
11,Chase Audige,Northwestern,Sr.,6-4,G,34,81,2.38
12,Sam Vinson,Northern Ky.,So.,6-5,G,32,76,2.38
13,Jimmy Clark III,Duquesne,Jr.,6-3,G,33,76,2.3
14,Terrion Murdix,A&M-Corpus Christi,Sr.,6-1,G,31,71,2.29
15,Jalen Moore,Oakland,Sr.,5-11,G,29,66,2.28
16,Zhuric Phelps,SMU,So.,6-3,G,30,68,2.27
17,Chris Manon,Cornell,Jr.,6-5,G,28,63,2.25
18,Eric Boone,N.C. Central,Sr.,6-2,G,29,65,2.24
19,Adrian Baldwin Jr.,VCU,Jr.,6-0,G,30,67,2.23
20,Tamin Lipsey,Iowa St.,Fr.,6-1,G,33,73,2.21
21,Kobe Johnson,Southern California,So.,6-6,G,33,72,2.18
22,Dajuan Harris,Kansas,Sr.,6-1,G,36,78,2.17
23,Khalil Shabazz,San Francisco,Sr.,6-0,G,34,73,2.15
24,Andrew Taylor,Marshall,Sr.,6-3,G,32,67,2.09
25,Tucker Richardson,Colgate,Sr.,6-5,G,35,73,2.09
26,Caleb Huffman,Nicholls,Sr.,6-4,G,31,64,2.06
27,Nelson Phillips,Troy,Sr.,6-3,G,33,68,2.06
28,Anthony Black,Arkansas,Fr.,6-7,G,36,74,2.06
29,Shemarri Allen,Kansas City,Sr.,6-4,G,29,59,2.03
30,Posh Alexander,St. John's (NY),Jr.,6-0,G,30,61,2.03
31,Sion James,Tulane,So.,6-5,G,31,63,2.03
32,Cam Spencer,Rutgers,Sr.,6-4,G,34,69,2.03
33,Kevin McCullar,Kansas,Sr.,6-8,G,34,68,2.0
-,Damani McEntire,Bethune-Cookman,Jr.,6-4,G,32,64,2.0
-,Calvin Solomon,UTEP,Jr.,6-7,F,32,64,2.0
-,Sincere Malone,Eastern Ill.,Fr.,6-8,F,31,62,2.0
-,Andre Curbelo,St. John's (NY),Jr.,6-1,G,26,52,2.0
38,Kendric Davis,Memphis,Sr.,5-11,G,34,67,1.97
-,Xavier Rhodes,Northern Ky.,Sr.,6-1,G,34,67,1.97
40,Sam Sessoms,Coppin St.,Sr.,6-0,G,32,63,1.97
-,Cason Wallace,Kentucky,Fr.,6-4,G,32,63,1.97
42,Zion Styles,UMES,Sr.,6-3,G,31,61,1.97
43,CJ Fulton,Lafayette,So.,6-2,G,30,59,1.97
-,Zakai Zeigler,Tennessee,So.,5-9,G,30,59,1.97
45,Kadary Richmond,Seton Hall,Jr.,6-6,G,27,53,1.96
46,Demarcus Sharp,Northwestern St.,Sr.,6-3,G,33,64,1.94
47,Isaiah Crawford,Louisiana Tech,Jr.,6-6,F,32,62,1.94
-,Jordan Gainey,USC Upstate,So.,6-4,G,32,62,1.94
-,Shamar Givance,UTEP,Sr.,5-10,G,32,62,1.94
50,Ant Nelson,Manhattan,Sr.,6-4,G,30,58,1.93
51,Austin Crowley,Southern Miss.,Jr.,6-5,G,33,63,1.91
52,Yazid Powell,Buffalo,Jr.,6-4,G,28,53,1.89
53,Grant Singleton,FDU,Sr.,5-9,G,36,68,1.89
54,Qua Grant,Sam Houston,Sr.,6-1,G,34,64,1.88
55,Jack Collins,Monmouth,Fr.,6-5,G,33,62,1.88
56,Elijah Stephens,American,So.,5-9,G,32,60,1.88
57,Jaylen Forbes,Tulane,Jr.,6-5,G,31,58,1.87
58,Blake Lampman,Oakland,Jr.,6-3,G,28,52,1.86
59,Umoja Gibson,DePaul,Sr.,6-1,G,33,61,1.85
60,Eric Gaines,UAB,So.,6-2,G,39,72,1.85
61,Joe Bryant,Norfolk St.,Sr.,6-1,G,32,59,1.84
-,Walter Clayton Jr.,Iona,So.,6-2,G,32,59,1.84
-,Tyreke Locure,ULM,Jr.,6-0,G,32,59,1.84
-,Judah Mintz,Syracuse,Fr.,6-3,G,32,59,1.84
65,Ty Johnson,UC Davis,So.,6-3,G,31,57,1.84
-,Cam Shelton,LMU (CA),Sr.,6-2,G,31,57,1.84
67,Brandon Brown,Wagner,Sr.,6-5,G,28,51,1.82
68,Santiago Vescovi,Tennessee,Sr.,6-3,G,33,60,1.82
69,Enoch Cheeks,Robert Morris,Jr.,6-3,G,31,56,1.81
-,A.J. Staton-McCray,Samford,So.,6-5,G,31,56,1.81
71,Jaden Clayton,Maine,Fr.,6-1,G,30,54,1.8
72,Devin Carter,Providence,So.,6-3,G,33,59,1.79
-,Kedrian Johnson,West Virginia,Sr.,6-3,G,33,59,1.79
-,Dayvion McKnight,Western Ky.,Jr.,6-1,G,33,59,1.79
-,Kyle Rose,Fordham,Jr.,6-4,G,33,59,1.79
76,Chris Ledlum,Harvard,Sr.,6-6,F,28,50,1.79
77,Anton Watson,Gonzaga,Sr.,6-8,F,37,66,1.78
78,Reece Beekman,Virginia,Jr.,6-3,G,32,57,1.78
-,Keyshaun Langley,UNC Greensboro,Sr.,6-1,G,32,57,1.78
-,Kobe Langley,UNC Greensboro,Sr.,6-1,G,32,57,1.78
-,Brandin Podziemski,Santa Clara,So.,6-5,G,32,57,1.78
82,Tyler Kolek,Marquette,Jr.,6-3,G,36,64,1.78
83,Jalen Cook,Tulane,So.,6-0,G,26,46,1.77
84,Jace Carter,UIC,So.,6-5,G,30,53,1.77
85,Darius Brown II,Montana St.,Sr.,6-2,G,34,60,1.76
86,Damion Baugh,TCU,Sr.,6-4,G,29,51,1.76
87,Tyree Appleby,Wake Forest,Sr.,6-0,G,33,58,1.76
-,Shawndarius Cowart,Grambling,Sr.,6-2,G,33,58,1.76
-,Jaylin Hunter,Ohio,Jr.,5-11,G,33,58,1.76
-,Carlos Stewart,Santa Clara,So.,6-1,G,33,58,1.76
91,Sean Halloran,Elon,Sr.,6-0,G,32,56,1.75
-,Denver Jones,FIU,So.,6-4,G,28,49,1.75
93,Wade Taylor IV,Texas A&M,So.,6-0,G,35,61,1.74
94,Kenneth Jones,Loyola Maryland,Sr.,6-0,G,33,57,1.73
95,Taevion Kinsey,Marshall,Sr.,6-5,G,32,55,1.72
96,Elijah Hawkins,Howard,So.,5-11,G,31,53,1.71
-,Foster Loyer,Davidson,Sr.,6-0,G,31,53,1.71
98,Wendell Green Jr.,Auburn,Jr.,5-11,G,34,58,1.71
99,Luis Rodriguez,UNLV,Sr.,6-6,G,27,46,1.7
100,Jamal Shead,Houston,Jr.,6-1,G,37,63,1.7
101,Kaleb Thornton,NIU,Sr.,6-0,G,30,51,1.7
102,Demetric Horton,N.C. A&T,Sr.,6-5,G,32,54,1.69
-,Kyrell Luc,St. Bonaventure,So.,5-11,G,32,54,1.69
-,Elijah Morgan,The Citadel,Jr.,6-1,G,32,54,1.69
-,Nendah Tarke,Coppin St.,So.,6-4,G,32,54,1.69
106,Trae English,McNeese,So.,6-0,G,28,47,1.68
107,Bryan Antoine,Radford,Jr.,6-5,G,31,52,1.68
-,Dashawn Davis,Mississippi St.,Sr.,6-2,G,31,52,1.68
-,Keshon Gilbert,UNLV,So.,6-4,G,31,52,1.68
-,Byron Joshua,Alcorn,So.,5-11,G,31,52,1.68
111,Desmond Cambridge Jr.,Arizona St.,Sr.,6-4,G,34,57,1.68
112,Stevie Mitchell,Marquette,So.,6-2,G,36,60,1.67
-,Jadon Jones,Long Beach St.,So.,6-5,G,27,45,1.67
114,Sincere Carry,Kent St.,Sr.,6-1,G,35,58,1.66
-,Cooper Robb,Eastern Ky.,Sr.,6-1,G,35,58,1.66
116,Terry Collins,Mississippi Val.,Sr.,6-3,G,32,53,1.66
-,Shakeel Moore,Mississippi St.,Jr.,6-1,G,32,53,1.66
118,Bryson Etienne,Southern U.,Sr.,6-3,G,31,51,1.65
-,Garrett Hicks,Alabama A&M,Sr.,6-0,G,31,51,1.65
-,Elijah Pepper,UC Davis,Jr.,6-4,G,31,51,1.65
-,Kam Woods,N.C. A&T,So.,6-2,G,31,51,1.65
122,Lance Jones,Southern Ill.,Sr.,6-1,G,33,54,1.64
123,Cameron Holden,Towson,Sr.,6-5,F,30,49,1.63
124,Marcus Carr,Texas,Sr.,6-2,G,38,62,1.63
125,Terrell Burden,Kennesaw St.,Sr.,5-10,G,35,57,1.63
126,Femi Odukale,Seton Hall,Jr.,6-6,G,32,52,1.62
-,Oscar Tshiebwe,Kentucky,Sr.,6-9,F,32,52,1.62
-,Jomaru Brown,Coastal Carolina,Sr.,6-2,G,24,39,1.62
129,Jarred Godfrey,Purdue Fort Wayne,Sr.,6-5,G,31,50,1.61
-,Donovan Gregory,App State,Sr.,6-5,F,31,50,1.61
131,Darius McGhee,Liberty,Sr.,5-9,G,36,58,1.61
-,Marcus Sasser,Houston,Sr.,6-2,G,36,58,1.61
133,Nico Galette,Sacred Heart,Jr.,6-6,F,33,53,1.61
-,Teafale Lenard,Middle Tenn.,So.,6-7,G,33,53,1.61
135,Damien Daniels,Abilene Christian,Sr.,5-7,G,30,48,1.6
