Rank,Name,Team,Cl,Height,Position,G,3FG,3FGA
1,Darius McGhee,Liberty,Sr.,5-9,G,36,162,411
2,Antoine Davis,Detroit Mercy,Sr.,6-1,G,33,159,386
3,Jordan Walker,UAB,Sr.,5-11,G,33,135,357
4,Ja'Monta Black,Northwestern St.,Jr.,6-3,G,32,122,326
5,Max Abmas,Oral Roberts,Sr.,6-0,G,34,119,319
6,Tre Jackson,Western Caro.,Jr.,6-0,G,33,113,265
7,Andrew Funk,Penn St.,Sr.,6-5,G,37,112,272
-,Tylor Perry,North Texas,Sr.,5-11,G,36,112,271
9,Steven Ashworth,Utah St.,Jr.,6-1,G,35,111,256
-,Courvoisier McCauley,Indiana St.,Sr.,6-5,G,35,111,292
11,Xavier Castaneda,Akron,Sr.,6-1,G,31,110,282
12,Jordan Hawkins,UConn,So.,6-5,G,37,109,281
13,Brandon Miller,Alabama,Fr.,6-9,F,37,106,276
14,Daniel Ortiz,North Ala.,So.,6-0,G,33,105,257
15,Kamdyn Curfman,Marshall,Jr.,6-0,G,32,103,255
-,Demaree King,Jacksonville St.,Sr.,6-0,G,31,103,250
17,Austin Ash,The Citadel,Sr.,6-3,G,30,102,257
18,D'Moi Hodge,Missouri,Sr.,6-4,G,35,100,250
-,Kam Jones,Marquette,So.,6-4,G,36,100,278
-,Trevian Tennyson,A&M-Corpus Christi,Sr.,6-4,G,35,100,249
21,Tajion Jones,UNC Asheville,Sr.,6-5,G,35,99,221
-,Erik Reynolds II,Saint Joseph's,So.,6-2,G,33,99,261
23,Drew Friberg,Belmont,Sr.,6-7,F,32,97,213
-,Tyler Harris,South Fla.,Sr.,5-9,G,32,97,252
-,Blake Hinson,Pittsburgh,Jr.,6-7,F,36,97,255
-,Cameron Tyson,Seattle U,Jr.,6-3,G,30,97,289
27,Jalen Cone,Northern Ariz.,Jr.,5-11,G,33,96,240
-,Keshawn Justice,Santa Clara,Sr.,6-7,F,33,96,254
-,Landers Nolley II,Cincinnati,Sr.,6-7,G,36,96,230
-,Marcus Sasser,Houston,Sr.,6-2,G,36,96,250
31,Khalil Shabazz,San Francisco,Sr.,6-0,G,34,95,270
32,Dae Dae Grant,Duquesne,Jr.,6-2,G,33,94,233
-,Brycen Long,Houston Christian,Jr.,6-2,G,32,94,226
-,Michael Moreno,Eastern Ky.,Jr.,6-7,F,37,94,244
-,Quincy Olivari,Rice,Jr.,6-3,G,35,94,258
36,Josh Corbin,Robert Morris,Jr.,6-3,G,33,93,253
-,Jamal Johnson,Chattanooga,Sr.,6-4,G,35,93,231
-,Jordan Johnson,New Orleans,Jr.,6-1,G,27,93,193
39,Isaiah Burke,Morgan St.,Sr.,6-1,G,31,92,219
-,Seth Lundy,Penn St.,Sr.,6-6,F,36,92,230
-,Reyne Smith,Col. of Charleston,So.,6-2,G,35,92,270
-,Tyler Thomas,Hofstra,Sr.,6-3,G,35,92,227
-,Nicolas Timberlake,Towson,Sr.,6-4,G,33,92,221
